Event,Value,Timestamp
task_advance,1,00:14
task_advance,2,00:22
danger_zone_start,operator_handler,00:32
thrshldpsscntttl_dngr,1,00:54
thrshldpsscntttl_dngr,1,00:55
thrshldpsscntttl_dngr,1,00:59
task_advance,3,01:01
thrshldpsscntttl_dngr,2,01:07
thrshldpsscntttl_dngr,2,01:09
danger_zone_end,operator_handler,01:11
task_advance,4,01:20
task_advance,5,01:28
danger_zone_start,ai_handler,01:38
ai_correctlogging,1,01:55
ai_correctlogging,2,01:57
thrshldpsscntttl_dngr,3,01:59
ai_incorrectlogging,1,01:59
ai_correctlogging,3,01:59
ai_correctlogging,4,02:05
thrshldpsscntttl_dngr,3,02:13
ai_incorrectlogging,2,02:13
ai_correctlogging,5,02:14
ai_correctlogging,6,02:14
stppsscount_dngr,1,02:17
stppsscount_dngr,2,02:19
stppsscount_dngr,3,02:20
stppsscount_dngr,4,02:20
thrshldpsscntttl_dngr,4,02:21
ai_incorrectlogging,3,02:21
stppsscount_dngr,5,02:21
ai_correctlogging,7,02:22
stppsscount_dngr,6,02:22
stppsscount_dngr,7,02:23
stppsscount_dngr,8,02:24
stppsscount_dngr,9,02:25
task_advance,6,02:26
stppsscount_dngr,10,02:27
stppsscount_dngr,11,02:28
stppsscount_dngr,12,02:28
stppsscount_dngr,13,02:29
stppsscount_dngr,14,02:30
stppsscount_dngr,15,02:31
stppsscount_dngr,16,02:32
stppsscount_dngr,17,02:33
stppsscount_dngr,18,02:35
stppsscount_dngr,19,02:36
stppsscount_dngr,20,02:36
stppsscount_dngr,21,02:37
ai_correctlogging,8,02:38
stppsscount_dngr,22,02:38
stppsscount_dngr,23,02:39
ai_correctlogging,9,02:39
ai_correctlogging,10,02:39
stppsscount_dngr,24,02:40
stppsscount_dngr,25,02:41
danger_zone_end,ai_handler,02:41
