Event,Value,Timestamp
task_advance,1,00:21
task_advance,2,01:02
danger_zone_start,ai_handler,01:12
thrshldpsscntttl_dngr,1,01:30
ai_incorrectlogging,1,01:30
stppsscount_dngr,1,01:30
task_advance,3,01:40
thrshldpsscntttl_dngr,2,01:42
ai_incorrectlogging,2,01:42
stppsscount_dngr,2,01:42
collision,1,01:52
thrshldpsscntttl_dngr,1,01:52
ai_incorrectlogging,3,01:52
stppsscount_dngr,1,01:52
thrshldpsscntttl_dngr,1,02:02
ai_incorrectlogging,4,02:02
stppsscount_dngr,1,02:02
thrshldpsscntttl_dngr,3,02:12
ai_incorrectlogging,5,02:13
stppsscount_dngr,3,02:13
thrshldpsscntttl_dngr,2,02:23
ai_incorrectlogging,6,02:24
stppsscount_dngr,2,02:24
task_advance,4,02:31
collision,1,02:40
danger_zone_end,ai_handler,02:41
task_advance,5,03:13
thrshldpsscntdngrttl_nrml,1,03:23
stppsscount_nrml,1,03:24
task_advance,6,03:51
danger_zone_start,operator_handler,04:01
thrshldpsscntttl_dngr,4,04:18
task_advance,7,04:23
collision,1,04:35
thrshldpsscntttl_dngr,3,04:40
thrshldpsscntttl_dngr,5,05:05
task_advance,8,05:49
collision,1,05:59
danger_zone_end,operator_handler,06:04
wrong_entry,N/A,06:31
CHOICE,NO,06:57
task_advance,9,07:15
task_advance,10,07:46
danger_zone_start,operator_handler,07:56
thrshldpsscntttl_dngr,4,08:11
wrong_entry,N/A,09:20
task_advance,11,10:19
duplicated_entry,N/A,11:20
task_advance,12,12:18
danger_zone_end,operator_handler,12:28
collision,1,12:28
duplicated_entry,N/A,13:26
thrshldpsscntdngrttl_nrml,2,13:52
collision,1,14:05
calibration,1,14:09
calibration,1,14:48
duplicated_entry,N/A,15:04
collision,1,15:14
collision,1,15:24
collision,1,15:59
thrshldpsscntdngrttl_nrml,3,16:20
task_advance,13,16:43
end,N/A,16:43
