Event,Value,Timestamp
task_advance,1,
task_advance,2,00:03
danger_zone_start,operator_handler,00:13
ai_correctlogging,1,00:26
ai_correctlogging,2,00:27
thrshldpsscntttl_dngr,1,00:28
ai_incorrectlogging,1,00:28
ai_correctlogging,3,00:37
ai_correctlogging,4,00:38
thrshldpsscntttl_dngr,1,00:40
ai_incorrectlogging,2,00:40
ai_correctlogging,5,00:47
ai_correctlogging,6,00:47
stppsscount_dngr,1,00:54
thrshldpsscntttl_dngr,1,00:57
ai_incorrectlogging,3,00:57
thrshldpsscntttl_dngr,2,00:58
ai_incorrectlogging,4,00:58
ai_correctlogging,7,01:08
ai_correctlogging,8,01:08
ai_correctlogging,9,01:08
ai_correctlogging,10,01:18
ai_correctlogging,11,01:18
ai_correctlogging,12,01:21
ai_correctlogging,13,01:28
ai_correctlogging,14,01:28
ai_correctlogging,15,01:35
ai_correctlogging,16,01:38
ai_correctlogging,17,01:38
ai_correctlogging,18,01:48
ai_correctlogging,19,01:48
ai_correctlogging,20,01:49
ai_correctlogging,21,01:58
ai_correctlogging,22,01:59
ai_correctlogging,23,02:02
ai_correctlogging,24,02:08
ai_correctlogging,25,02:09
ai_correctlogging,26,02:16
ai_correctlogging,27,02:17
ai_correctlogging,28,02:18
ai_correctlogging,29,02:27
ai_correctlogging,30,02:29
ai_correctlogging,31,02:30
ai_correctlogging,32,02:37
ai_correctlogging,33,02:39
task_advance,3,02:43
ai_correctlogging,34,02:43
ai_correctlogging,35,02:47
ai_correctlogging,36,02:49
danger_zone_end,operator_handler,02:53
task_advance,4,02:55
task_advance,5,03:15
danger_zone_start,ai_handler,03:25
thrshldpsscntttl_dngr,2,03:36
stppsscount_dngr,2,03:36
thrshldpsscntttl_dngr,2,03:36
stppsscount_dngr,3,03:36
stppsscount_dngr,4,03:37
stppsscount_dngr,5,03:37
stppsscount_dngr,1,03:37
stppsscount_dngr,6,03:37
thrshldpsscntttl_dngr,3,03:38
stppsscount_dngr,7,03:38
stppsscount_dngr,8,03:38
stppsscount_dngr,2,03:38
stppsscount_dngr,9,03:38
stppsscount_dngr,1,03:38
stppsscount_dngr,3,03:38
stppsscount_dngr,10,03:38
stppsscount_dngr,11,03:39
stppsscount_dngr,4,03:39
stppsscount_dngr,12,03:39
stppsscount_dngr,2,03:39
stppsscount_dngr,13,03:39
stppsscount_dngr,5,03:39
stppsscount_dngr,14,03:39
task_advance,6,03:39
stppsscount_dngr,15,03:40
stppsscount_dngr,16,03:40
stppsscount_dngr,6,03:40
stppsscount_dngr,17,03:40
stppsscount_dngr,3,03:41
stppsscount_dngr,18,03:41
stppsscount_dngr,7,03:41
stppsscount_dngr,19,03:41
thrshldpsscntttl_dngr,4,03:51
thrshldpsscntttl_dngr,3,03:51
stppsscount_dngr,8,03:52
stppsscount_dngr,4,03:53
stppsscount_dngr,9,03:53
stppsscount_dngr,5,03:53
stppsscount_dngr,10,03:53
danger_zone_end,ai_handler,03:54
task_advance,7,04:00
