Event,Value,Timestamp
stppsscount_nrml,82,20:00
stppsscount_nrml,83,20:00
stppsscount_nrml,84,20:00
stppsscount_nrml,85,20:00
stppsscount_nrml,86,20:00
stppsscount_nrml,87,20:00
stppsscount_nrml,88,20:00
stppsscount_nrml,89,20:00
stppsscount_nrml,90,20:00
stppsscount_nrml,91,20:00
stppsscount_nrml,92,20:00
stppsscount_nrml,93,20:00
stppsscount_nrml,94,20:00
stppsscount_nrml,95,20:00
stppsscount_nrml,96,20:00
stppsscount_nrml,97,20:00
stppsscount_nrml,98,20:00
stppsscount_nrml,99,20:00
stppsscount_nrml,100,20:00
stppsscount_nrml,101,20:00
stppsscount_nrml,102,20:00
stppsscount_nrml,103,20:00
stppsscount_nrml,104,20:00
stppsscount_nrml,105,20:00
stppsscount_nrml,106,20:00
stppsscount_nrml,107,20:00
stppsscount_nrml,108,20:00
stppsscount_nrml,109,20:00
stppsscount_nrml,110,20:00
stppsscount_nrml,111,20:00
stppsscount_nrml,112,20:00
stppsscount_nrml,113,20:00
stppsscount_nrml,114,20:00
stppsscount_nrml,115,20:00
stppsscount_nrml,116,20:00
stppsscount_nrml,117,20:00
stppsscount_nrml,118,20:00
stppsscount_nrml,119,20:00
stppsscount_nrml,120,20:00
stppsscount_nrml,121,20:00
stppsscount_nrml,122,20:00
stppsscount_nrml,123,20:00
stppsscount_nrml,124,20:00
stppsscount_nrml,125,20:00
stppsscount_nrml,126,20:00
stppsscount_nrml,127,20:00
stppsscount_nrml,128,20:00
stppsscount_nrml,129,20:00
stppsscount_nrml,130,20:00
stppsscount_nrml,131,20:00
stppsscount_nrml,132,20:00
stppsscount_nrml,133,20:00
stppsscount_nrml,134,20:00
stppsscount_nrml,135,20:00
stppsscount_nrml,136,20:00
stppsscount_nrml,137,20:00
stppsscount_nrml,138,20:00
stppsscount_nrml,139,20:00
stppsscount_nrml,140,20:00
stppsscount_nrml,141,20:00
stppsscount_nrml,142,20:00
stppsscount_nrml,143,20:00
stppsscount_nrml,144,20:00
stppsscount_nrml,145,20:00
stppsscount_nrml,146,20:00
stppsscount_nrml,147,20:00
stppsscount_nrml,148,20:00
