Event,Value,Timestamp
task_advance,1,01:34
thrshldpsscntdngrttl_nrml,1,01:38
task_advance,2,03:06
danger_zone_start,ai_handler,03:16
thrshldpsscntttl_dngr,1,03:32
ai_incorrectlogging,1,03:32
thrshldpsscntttl_dngr,1,03:42
ai_incorrectlogging,2,03:42
ai_incorrectlogging,3,03:52
stppsscount_dngr,1,03:52
thrshldpsscntttl_dngr,1,04:02
ai_incorrectlogging,4,04:02
ai_correctlogging,1,04:38
ai_correctlogging,2,04:47
ai_correctlogging,3,05:02
ai_correctlogging,4,05:34
ai_correctlogging,5,05:42
ai_correctlogging,6,06:02
task_advance,3,06:17
danger_zone_end,ai_handler,06:26
task_advance,4,07:54
collision,1,08:18
thrshldpsscntdngrttl_nrml,2,08:19
collision,1,08:50
task_advance,5,10:07
task_advance,6,11:27
danger_zone_start,operator_handler,11:37
thrshldpsscntttl_dngr,2,12:22
thrshldpsscntttl_dngr,3,12:42
stppsscount_dngr,2,12:45
stppsscount_dngr,3,12:47
stppsscount_dngr,4,12:50
thrshldpsscntttl_dngr,4,14:17
stppsscount_dngr,5,14:20
stppsscount_dngr,6,14:22
task_advance,7,17:49
wrong_entry,N/A,19:35
wrong_entry,N/A,21:39
duplicated_entry,N/A,24:13
task_advance,8,26:20
danger_zone_end,operator_handler,26:35
collision,1,26:44
thrshldpsscntdngrttl_nrml,3,26:48
collision,1,26:48
stppsscount_nrml,1,26:48
stppsscount_nrml,2,26:49
stppsscount_nrml,3,26:50
stppsscount_nrml,4,26:50
stppsscount_nrml,5,26:51
collision,1,26:58
thrshldpsscntdngrttl_nrml,4,27:34
stppsscount_nrml,6,27:35
CHOICE,YES,27:35
stppsscount_nrml,7,27:35
stppsscount_nrml,8,27:36
stppsscount_nrml,9,27:37
task_advance,9,29:27
task_advance,10,29:59
danger_zone_start,ai_handler,30:00
danger_zone_end,ai_handler,30:00
thrshldpsscntdngrttl_nrml,5,30:00
