Event,Value,Timestamp
task_advance,1,00:44
collision,1,01:23
wrong_entry,N/A,02:09
wrong_entry,N/A,02:50
task_advance,2,02:57
danger_zone_start,operator_handler,03:07
ai_correctlogging,1,03:20
ai_correctlogging,2,03:20
thrshldpsscntttl_dngr,1,03:21
ai_incorrectlogging,1,03:21
ai_correctlogging,3,03:30
ai_correctlogging,4,03:30
stppsscount_dngr,1,03:35
thrshldpsscntttl_dngr,1,03:40
ai_incorrectlogging,2,03:40
thrshldpsscntttl_dngr,1,03:41
ai_incorrectlogging,3,03:41
ai_correctlogging,5,03:48
stppsscount_dngr,1,03:51
stppsscount_dngr,1,03:51
thrshldpsscntttl_dngr,2,04:02
ai_incorrectlogging,4,04:02
ai_correctlogging,6,04:02
thrshldpsscntttl_dngr,2,04:02
ai_incorrectlogging,5,04:02
ai_correctlogging,7,04:12
ai_correctlogging,8,04:12
task_advance,3,04:13
ai_correctlogging,9,04:15
ai_correctlogging,10,04:22
ai_correctlogging,11,04:22
danger_zone_end,operator_handler,04:23
task_advance,4,05:41
task_advance,5,06:52
danger_zone_start,ai_handler,07:02
thrshldpsscntttl_dngr,3,07:14
collision,1,07:20
thrshldpsscntttl_dngr,3,07:24
thrshldpsscntttl_dngr,4,07:24
thrshldpsscntttl_dngr,5,07:35
thrshldpsscntttl_dngr,4,07:36
thrshldpsscntttl_dngr,5,08:27
thrshldpsscntttl_dngr,6,08:27
stppsscount_dngr,2,08:27
stppsscount_dngr,2,08:27
stppsscount_dngr,3,08:28
stppsscount_dngr,3,08:28
thrshldpsscntttl_dngr,7,08:59
thrshldpsscntttl_dngr,6,09:00
stppsscount_dngr,4,09:00
stppsscount_dngr,4,09:00
stppsscount_dngr,5,09:00
stppsscount_dngr,6,09:01
stppsscount_dngr,5,09:01
stppsscount_dngr,7,09:02
thrshldpsscntttl_dngr,2,09:02
stppsscount_dngr,2,09:02
task_advance,6,09:06
danger_zone_end,ai_handler,09:21
collision,1,09:48
collision,1,09:56
collision,1,10:18
CHOICE,YES,10:50
thrshldpsscntdngrttl_nrml,1,12:22
duplicated_entry,N/A,12:30
task_advance,7,13:30
task_advance,8,14:17
danger_zone_start,ai_handler,14:27
ai_correctlogging,12,14:38
ai_correctlogging,13,14:40
ai_correctlogging,14,14:43
thrshldpsscntttl_dngr,8,14:53
ai_incorrectlogging,6,14:53
ai_correctlogging,15,14:53
ai_correctlogging,16,14:58
stppsscount_dngr,8,15:07
thrshldpsscntttl_dngr,3,15:09
ai_incorrectlogging,7,15:09
ai_correctlogging,17,15:13
ai_correctlogging,18,15:19
ai_correctlogging,19,15:24
ai_correctlogging,20,15:28
ai_correctlogging,21,15:32
ai_correctlogging,22,15:39
ai_correctlogging,23,15:43
ai_correctlogging,24,15:45
task_advance,9,15:47
ai_correctlogging,25,15:54
danger_zone_end,ai_handler,15:57
task_advance,10,18:01
thrshldpsscntdngrttl_nrml,2,19:09
stppsscount_nrml,1,19:09
stppsscount_nrml,2,19:10
stppsscount_nrml,3,19:11
stppsscount_nrml,4,19:12
stppsscount_nrml,5,19:12
stppsscount_nrml,6,19:13
stppsscount_nrml,7,19:14
stppsscount_nrml,8,19:15
stppsscount_nrml,9,19:15
stppsscount_nrml,10,19:16
stppsscount_nrml,11,19:17
stppsscount_nrml,12,19:18
stppsscount_nrml,13,19:18
stppsscount_nrml,14,19:19
stppsscount_nrml,15,19:20
stppsscount_nrml,16,19:21
stppsscount_nrml,17,19:21
stppsscount_nrml,18,19:22
stppsscount_nrml,19,19:23
stppsscount_nrml,20,19:24
stppsscount_nrml,21,19:24
stppsscount_nrml,22,19:25
stppsscount_nrml,23,19:26
stppsscount_nrml,24,19:27
stppsscount_nrml,25,19:27
stppsscount_nrml,26,19:28
stppsscount_nrml,27,19:29
stppsscount_nrml,28,19:30
stppsscount_nrml,29,19:30
stppsscount_nrml,30,19:31
stppsscount_nrml,31,19:32
stppsscount_nrml,32,19:33
stppsscount_nrml,33,19:33
stppsscount_nrml,34,19:34
stppsscount_nrml,35,19:35
stppsscount_nrml,36,19:36
stppsscount_nrml,37,19:36
stppsscount_nrml,38,19:37
stppsscount_nrml,39,19:38
stppsscount_nrml,40,19:39
stppsscount_nrml,41,19:39
stppsscount_nrml,42,19:40
stppsscount_nrml,43,19:41
stppsscount_nrml,44,19:42
stppsscount_nrml,45,19:42
stppsscount_nrml,46,19:43
stppsscount_nrml,47,19:44
stppsscount_nrml,48,19:45
stppsscount_nrml,49,19:45
stppsscount_nrml,50,19:46
stppsscount_nrml,51,19:47
stppsscount_nrml,52,19:48
stppsscount_nrml,53,19:48
stppsscount_nrml,54,19:49
stppsscount_nrml,55,19:50
stppsscount_nrml,56,19:51
stppsscount_nrml,57,19:51
stppsscount_nrml,58,19:52
stppsscount_nrml,59,19:53
stppsscount_nrml,60,19:54
stppsscount_nrml,61,19:54
stppsscount_nrml,62,19:55
stppsscount_nrml,63,19:56
stppsscount_nrml,64,19:57
stppsscount_nrml,65,19:57
stppsscount_nrml,66,19:58
stppsscount_nrml,67,19:59
stppsscount_nrml,68,20:00
stppsscount_nrml,69,20:00
stppsscount_nrml,70,20:01
stppsscount_nrml,71,20:02
stppsscount_nrml,72,20:03
stppsscount_nrml,73,20:03
stppsscount_nrml,74,20:04
stppsscount_nrml,75,20:05
stppsscount_nrml,76,20:06
thrshldpsscntdngrttl_nrml,3,20:51
stppsscount_nrml,77,20:52
stppsscount_nrml,78,20:53
stppsscount_nrml,79,20:54
stppsscount_nrml,80,20:54
stppsscount_nrml,81,20:55
stppsscount_nrml,82,20:56
stppsscount_nrml,83,20:57
stppsscount_nrml,84,20:57
stppsscount_nrml,85,20:58
thrshldpsscntdngrttl_nrml,4,21:44
stppsscount_nrml,86,21:45
stppsscount_nrml,87,21:45
stppsscount_nrml,88,21:46
