Event,Value,Timestamp
task_advance,1,00:39
task_advance,2,01:25
danger_zone_start,ai_handler,01:35
thrshldpsscntttl_dngr,1,01:51
ai_incorrectlogging,1,01:51
stppsscount_dngr,1,01:51
thrshldpsscntttl_dngr,2,02:01
ai_incorrectlogging,2,02:01
stppsscount_dngr,2,02:01
thrshldpsscntttl_dngr,1,02:11
ai_incorrectlogging,3,02:11
stppsscount_dngr,1,02:11
thrshldpsscntttl_dngr,2,02:26
ai_incorrectlogging,4,02:26
stppsscount_dngr,2,02:26
ai_correctlogging,1,02:29
thrshldpsscntttl_dngr,3,02:36
ai_incorrectlogging,5,02:36
stppsscount_dngr,3,02:36
task_advance,3,02:42
thrshldpsscntttl_dngr,3,02:46
ai_incorrectlogging,6,02:46
stppsscount_dngr,3,02:46
ai_correctlogging,2,03:24
ai_correctlogging,3,03:32
ai_correctlogging,4,03:46
task_advance,4,03:58
danger_zone_end,ai_handler,04:08
task_advance,5,04:39
thrshldpsscntdngrttl_nrml,1,04:50
stppsscount_nrml,1,04:51
stppsscount_nrml,2,04:51
stppsscount_nrml,3,04:52
collision,1,04:56
task_advance,6,05:46
danger_zone_start,operator_handler,05:56
thrshldpsscntttl_dngr,4,06:12
thrshldpsscntttl_dngr,4,06:28
stppsscount_dngr,4,06:29
stppsscount_dngr,5,06:30
stppsscount_dngr,6,06:31
stppsscount_dngr,7,06:32
stppsscount_dngr,8,06:33
thrshldpsscntttl_dngr,5,06:55
stppsscount_dngr,4,06:57
task_advance,7,07:17
task_advance,8,08:25
danger_zone_end,operator_handler,08:40
task_advance,9,09:17
CHOICE,YES,09:36
task_advance,10,10:32
danger_zone_start,ai_handler,10:42
thrshldpsscntttl_dngr,1,10:52
ai_incorrectlogging,7,10:52
stppsscount_dngr,1,10:52
task_advance,11,11:19
ai_correctlogging,5,11:36
ai_correctlogging,6,11:42
ai_correctlogging,7,11:47
task_advance,12,12:15
danger_zone_end,ai_handler,12:25
duplicated_entry,N/A,13:02
duplicated_entry,N/A,13:52
collision,1,15:21
collision,1,16:48
thrshldpsscntdngrttl_nrml,2,17:19
collision,1,17:39
wrong_entry,N/A,18:46
wrong_entry,N/A,19:32
wrong_entry,N/A,19:58
task_advance,13,20:31
end,N/A,20:31
