Event,Value,Timestamp
task_advance,1,01:09
task_advance,2,02:12
thrshldpsscntdngrttl_nrml,1,02:20
stppsscount_nrml,1,02:21
danger_zone_start,ai_handler,02:22
thrshldpsscntttl_dngr,1,02:37
ai_incorrectlogging,1,02:37
stppsscount_dngr,1,02:37
thrshldpsscntttl_dngr,1,02:47
ai_incorrectlogging,2,02:47
stppsscount_dngr,1,02:47
thrshldpsscntttl_dngr,1,02:59
ai_incorrectlogging,3,02:59
stppsscount_dngr,1,02:59
thrshldpsscntttl_dngr,2,03:09
ai_incorrectlogging,4,03:10
stppsscount_dngr,2,03:10
thrshldpsscntttl_dngr,3,03:21
ai_incorrectlogging,5,03:21
stppsscount_dngr,3,03:21
task_advance,3,03:23
thrshldpsscntttl_dngr,2,03:30
ai_incorrectlogging,6,03:31
stppsscount_dngr,2,03:31
ai_correctlogging,1,03:55
ai_correctlogging,2,04:21
ai_correctlogging,3,04:26
wrong_entry,N/A,04:27
ai_correctlogging,4,04:51
wrong_entry,N/A,04:57
ai_correctlogging,5,05:21
ai_correctlogging,6,05:21
task_advance,4,05:28
danger_zone_end,ai_handler,05:32
task_advance,5,06:42
thrshldpsscntdngrttl_nrml,2,06:56
stppsscount_nrml,2,06:57
task_advance,6,07:48
danger_zone_start,operator_handler,07:58
thrshldpsscntttl_dngr,2,08:13
thrshldpsscntttl_dngr,3,09:02
stppsscount_dngr,2,09:04
stppsscount_dngr,3,09:06
thrshldpsscntttl_dngr,4,09:21
stppsscount_dngr,4,09:23
stppsscount_dngr,5,09:25
duplicated_entry,N/A,10:12
collision,1,10:31
duplicated_entry,N/A,11:31
collision,1,11:45
task_advance,7,12:35
duplicated_entry,N/A,13:39
task_advance,8,15:17
danger_zone_end,operator_handler,15:32
thrshldpsscntdngrttl_nrml,3,16:14
CHOICE,YES,16:27
thrshldpsscntdngrttl_nrml,4,16:57
stppsscount_nrml,3,16:58
task_advance,9,18:10
thrshldpsscntdngrttl_nrml,5,19:04
thrshldpsscntdngrttl_nrml,6,19:47
stppsscount_nrml,4,19:48
task_advance,10,20:59
danger_zone_start,ai_handler,21:09
thrshldpsscntttl_dngr,4,21:19
ai_incorrectlogging,7,21:19
stppsscount_dngr,4,21:19
collision,1,21:41
calibration,1,21:44
ai_correctlogging,7,22:04
ai_correctlogging,8,22:04
ai_correctlogging,9,22:19
ai_correctlogging,10,22:59
ai_correctlogging,11,23:00
wrong_entry,N/A,23:18
ai_correctlogging,12,23:19
task_advance,11,23:48
ai_correctlogging,13,23:54
ai_correctlogging,14,23:56
ai_correctlogging,15,24:19
ai_correctlogging,16,24:49
ai_correctlogging,17,24:52
ai_correctlogging,18,25:19
ai_correctlogging,19,25:44
ai_correctlogging,20,25:48
task_advance,12,26:14
ai_correctlogging,21,26:19
danger_zone_end,ai_handler,26:24
wrong_entry,N/A,27:57
wrong_entry,N/A,28:38
task_advance,13,29:06
end,N/A,29:06
