Event,Value,Timestamp
task_advance,1,00:35
task_advance,2,01:17
danger_zone_start,ai_handler,01:27
thrshldpsscntttl_dngr,1,01:45
ai_incorrectlogging,1,01:45
stppsscount_dngr,1,01:45
task_advance,3,01:57
thrshldpsscntttl_dngr,2,01:59
ai_incorrectlogging,2,01:59
stppsscount_dngr,2,01:59
thrshldpsscntttl_dngr,1,02:10
ai_incorrectlogging,3,02:10
stppsscount_dngr,1,02:10
thrshldpsscntttl_dngr,1,02:20
ai_incorrectlogging,4,02:20
stppsscount_dngr,1,02:20
task_advance,4,02:30
thrshldpsscntttl_dngr,2,02:32
ai_incorrectlogging,5,02:32
stppsscount_dngr,2,02:32
danger_zone_end,ai_handler,02:40
task_advance,5,03:31
task_advance,6,04:23
danger_zone_start,operator_handler,04:33
thrshldpsscntttl_dngr,3,04:48
thrshldpsscntttl_dngr,2,05:04
stppsscount_dngr,2,05:06
wrong_entry,N/A,05:13
thrshldpsscntttl_dngr,3,05:46
stppsscount_dngr,3,05:47
stppsscount_dngr,4,05:48
stppsscount_dngr,5,05:49
stppsscount_dngr,6,05:50
task_advance,7,06:02
task_advance,8,06:59
danger_zone_end,operator_handler,07:14
task_advance,9,08:17
CHOICE,NO,08:34
thrshldpsscntdngrttl_nrml,1,08:38
thrshldpsscntdngrttl_nrml,2,09:21
task_advance,10,09:47
danger_zone_start,operator_handler,09:57
thrshldpsscntttl_dngr,3,10:12
collision,1,11:31
collision,1,11:32
wrong_entry,N/A,13:24
task_advance,11,14:08
duplicated_entry,N/A,14:59
duplicated_entry,N/A,17:03
task_advance,12,18:41
danger_zone_end,operator_handler,18:51
thrshldpsscntdngrttl_nrml,3,19:33
task_advance,13,21:14
end,N/A,21:14
